                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4058,                 6.9351,                 1.0464,                 0.0214,                   0.25,                0.02526,                 0.0123,                 1.7662,                 4.7238,                 1.6707,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.2034,                 2.2859,                 1.0268,                  0.534,                0.94437,                 0.8736,                0.66386,                 1.0576,                  6.112,                0.96379,             0.00015408,             0.00015408,             0.00015408
                      3,                 1.1539,                 1.2922,                 1.0285,                0.56866,                0.97218,                0.68166,                0.46345,                 1.0256,                 6.0099,                0.97963,             0.00023331,             0.00023331,             0.00023331
                      4,                 1.1707,                 1.0541,                0.99497,                0.55392,                0.69919,                0.59061,                0.42401,                 1.0548,                 4.4675,                0.99164,             0.00030915,             0.00030915,             0.00030915
                      5,                 1.0579,                 1.1162,                 0.9863,                0.43334,                0.69956,                0.55318,                0.40583,                 1.1191,                 3.5398,                 1.0919,             0.00038159,             0.00038159,             0.00038159
                      6,                 1.1084,                 1.0045,                 1.0208,                0.09578,                0.89242,                0.10611,                0.07825,                 1.0354,                 59.279,                  1.091,             0.00045064,             0.00045064,             0.00045064
                      7,                 1.1128,                0.90127,                 1.0103,                0.65954,                0.97218,                0.68218,                0.49265,                 1.0953,                 13.933,                 1.0644,             0.00051629,             0.00051629,             0.00051629
                      8,                 1.0938,                0.78715,                0.98226,                0.42415,                0.67899,                0.43094,                0.32897,                 1.0071,                 8.9576,                 1.0056,             0.00057854,             0.00057854,             0.00057854
                      9,                 1.2235,                  1.108,                 1.0261,                 0.5153,                0.76734,                0.47817,                0.32847,                 1.1505,                 16.066,                 1.0844,              0.0006374,              0.0006374,              0.0006374
                     10,                 1.1176,                 1.4057,                 1.0849,                0.28673,                0.12945,                0.02157,                0.01259,                 2.1607,                 88.519,                  2.972,             0.00069287,             0.00069287,             0.00069287
                     11,                 1.1525,                 1.1768,                 1.0275,                0.32701,                0.04612,                0.03142,                0.01885,                 3.0831,                    inf,                 61.307,             0.00074494,             0.00074494,             0.00074494
                     12,                 1.0708,                0.75548,                 1.0019,                0.00715,                 0.1108,                0.00513,                0.00196,                 3.3259,                    inf,                 111.84,             0.00079361,             0.00079361,             0.00079361
                     13,                 1.0563,                0.79032,                 0.9893,                0.00715,                 0.1108,                0.00513,                0.00196,                 3.3166,                    inf,                 69.279,             0.00083889,             0.00083889,             0.00083889
                     14,                 1.0855,                 1.1627,                 1.0498,                0.00208,                0.02632,                0.00112,                0.00063,                 2.4491,                    inf,                 12.749,             0.00088078,             0.00088078,             0.00088078
                     15,                 1.0752,                 0.8394,                0.96789,                0.00208,                0.02632,                0.00112,                0.00063,                 2.4491,                    inf,                 12.749,             0.00091926,             0.00091926,             0.00091926
                     16,                 1.1553,                 0.8717,                0.97831,                0.00236,                0.16667,                0.00189,                0.00047,                 3.3403,                    inf,                 59.488,             0.00095436,             0.00095436,             0.00095436
                     17,                 1.2034,                 1.0075,                 1.0843,                0.00914,                0.29981,                0.00617,                0.00273,                 2.8471,                    inf,                 94.724,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.2422,                0.97616,                 1.0144,                0.00052,                  0.125,                0.00038,                  9e-05,                 3.2713,                    inf,                 96.257,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.2593,                  0.927,                 1.0154,                0.00052,                  0.125,                0.00038,                  9e-05,                 3.2713,                    inf,                 96.257,               0.000948,               0.000948,               0.000948
                     20,                 1.2789,                 1.1321,                 1.1073,                0.00052,                  0.125,                0.00038,                  9e-05,                 3.2869,                    inf,                 222.16,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.1706,                 1.1859,                 1.0504,                0.00052,                  0.125,                0.00038,                  9e-05,                 3.2919,                    inf,                 229.43,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.0619,                0.74103,                0.97267,                0.00123,                0.04167,                0.00066,                0.00013,                 3.7181,                    inf,                 265.34,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.0486,                0.71976,                0.96332,                0.00123,                0.04167,                0.00066,                0.00013,                 3.7181,                    inf,                 265.34,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.0277,                0.69148,                0.97173,                0.00123,                0.04167,                0.00066,                0.00013,                 4.7264,                    inf,                 366.68,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.0449,                0.97512,                 1.0181,                0.00123,                0.04167,                0.00066,                0.00013,                 4.7637,                    inf,                 542.01,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.0722,                0.67769,                0.98027,                0.00123,                0.04167,                0.00066,                0.00013,                 5.0695,                    inf,                  959.5,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.0661,                0.72509,                 1.0247,                0.00123,                0.04167,                0.00066,                0.00013,                 5.0695,                    inf,                  959.5,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.1371,                0.70748,                0.99888,                0.00123,                0.04167,                0.00066,                0.00013,                 4.8759,                    inf,                 1744.2,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.1152,                0.60968,                0.98943,                0.00123,                0.04167,                0.00066,                0.00013,                 4.8219,                    inf,                 243.45,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.1874,                0.62496,                 1.0877,                0.00152,                 0.1119,                0.01472,                0.00464,                 2.9781,                    inf,                 18.848,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.1016,                0.65906,                0.94894,                0.00152,                 0.1119,                0.01472,                0.00464,                 2.9781,                    inf,                 18.848,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.1712,                0.77847,                 1.0083,                0.02233,                0.46967,                0.01546,                 0.0099,                 1.5742,                    inf,                 5.0922,             0.00058017,             0.00058017,             0.00058017
                     33,                0.85478,                 8.9314,                0.79566,                0.34609,                0.94004,                0.34794,                0.25424,                 1.0397,                    inf,                 1.4331,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.0472,                0.60629,                0.96598,                0.34892,                0.90789,                0.35602,                0.25947,                 1.0535,                 47.492,                 1.2091,             0.00052359,             0.00052359,             0.00052359
                     35,                0.99572,                0.58081,                0.93058,                0.34892,                0.90789,                0.35602,                0.25947,                 1.0535,                 47.492,                 1.2091,             0.00049529,             0.00049529,             0.00049529
                     36,                0.99875,                0.61108,                0.94242,                0.91063,                0.94663,                0.96256,                0.73827,                0.93244,                0.55324,                0.91932,               0.000467,               0.000467,               0.000467
                     37,                 1.1504,                0.71533,                 1.0894,                0.91232,                0.99123,                0.97477,                0.73476,                0.94888,                0.50799,                0.91775,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.0194,                0.59143,                0.91104,                0.92466,                0.94956,                0.97283,                0.72998,                0.95532,                0.51816,                0.92661,             0.00041041,             0.00041041,             0.00041041
                     39,                0.97442,                0.55537,                0.98587,                0.92466,                0.94956,                0.97283,                0.72998,                0.95532,                0.51816,                0.92661,             0.00038211,             0.00038211,             0.00038211
                     40,                0.97745,                0.52834,                0.91271,                0.91824,                0.90646,                0.97069,                0.71529,                0.96784,                0.55886,                0.94136,             0.00035382,             0.00035382,             0.00035382
                     41,                0.93485,                0.50312,                0.93277,                0.92536,                0.94956,                0.97489,                0.69611,                 0.9583,                0.56265,                0.94424,             0.00032553,             0.00032553,             0.00032553
                     42,                0.95623,                 0.5252,                0.95586,                0.94693,                0.98656,                0.98354,                0.69721,                0.96056,                0.57337,                0.94577,             0.00029723,             0.00029723,             0.00029723
                     43,                 0.9441,                0.51521,                0.94582,                0.94693,                0.98656,                0.98354,                0.69721,                0.96056,                0.57337,                0.94577,             0.00026894,             0.00026894,             0.00026894
                     44,                0.93544,                0.56349,                0.94246,                0.94446,                0.97049,                0.98342,                0.67701,                 0.9776,                0.56475,                0.95487,             0.00024064,             0.00024064,             0.00024064
                     45,                0.85851,                0.63865,                0.96727,                0.93686,                0.90726,                0.96777,                 0.6536,                0.99299,                0.69306,                0.95979,             0.00021235,             0.00021235,             0.00021235
                     46,                0.95023,                0.50154,                0.92524,                0.94926,                0.87136,                0.96564,                0.68753,                0.97173,                0.69184,                0.95345,             0.00018406,             0.00018406,             0.00018406
                     47,                0.89545,                0.55761,                0.89819,                0.94926,                0.87136,                0.96564,                0.68753,                0.97173,                0.69184,                0.95345,             0.00015576,             0.00015576,             0.00015576
                     48,                0.89922,                0.57171,                 1.0046,                0.91705,                0.91194,                0.97308,                0.71466,                0.94958,                0.63126,                0.94572,             0.00012747,             0.00012747,             0.00012747
                     49,                0.92919,                0.45274,                0.92317,                0.90414,                0.96705,                 0.9748,                0.72907,                  0.927,                0.56882,                0.93191,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.90841,                0.49608,                0.93588,                0.92858,                0.96217,                0.97489,                0.75594,                0.90839,                0.52723,                0.92036,             7.0878e-05,             7.0878e-05,             7.0878e-05
