                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8808,                 4.2185,                 1.2692,                0.00416,                0.25641,                0.03657,                0.02584,                 1.3178,                 4.2148,                 1.0439,               6.25e-05,               6.25e-05,               6.25e-05
                      2,                 1.3337,                 3.8934,                 1.0548,                0.00623,                0.25641,                0.02985,                0.01662,                 1.1463,                  3.964,                0.92855,             0.00013478,             0.00013478,             0.00013478
                      3,                 1.4147,                 3.4633,                0.98307,                0.00717,                0.25641,                  0.062,                 0.0396,                 1.1797,                 3.7919,                0.93197,             0.00020408,             0.00020408,             0.00020408
                      4,                 1.1424,                 4.9143,                0.79176,                0.05396,                 0.4286,                0.34725,                0.22155,                 1.1376,                 3.5527,                 0.9287,             0.00027042,             0.00027042,             0.00027042
                      5,                 1.3008,                 2.0835,                0.90822,                0.85618,                0.26573,                0.47736,                0.30064,                 1.1581,                 3.0302,                0.92891,             0.00033379,             0.00033379,             0.00033379
                      6,                 1.2047,                 1.8423,                0.91418,                0.86802,                0.41493,                0.47106,                0.31024,                 1.1363,                 2.3374,                0.90933,             0.00039419,             0.00039419,             0.00039419
                      7,                  1.269,                 1.7472,                0.93162,                0.91033,                0.41941,                0.48083,                0.31469,                 1.2005,                  1.922,                0.91996,             0.00045161,             0.00045161,             0.00045161
                      8,                 1.2396,                  1.765,                0.89632,                0.87538,                0.42719,                0.48369,                0.30852,                 1.1889,                 1.7228,                 0.9275,             0.00050607,             0.00050607,             0.00050607
                      9,                 1.1104,                 1.5082,                 0.9111,                0.85993,                0.46423,                0.50335,                0.34831,                 1.2086,                 1.4775,                0.93704,             0.00055756,             0.00055756,             0.00055756
                     10,                 1.1531,                 1.3527,                0.91314,                0.97743,                0.48329,                0.56325,                0.40914,                 1.0924,                 1.1228,                0.92849,             0.00060608,             0.00060608,             0.00060608
                     11,                 1.2119,                  1.385,                0.92468,                0.95628,                0.49326,                0.63916,                0.49503,                0.99592,                 1.0401,                 0.9106,             0.00065163,             0.00065163,             0.00065163
                     12,                 1.1498,                 1.2936,                0.93429,                0.78405,                0.63462,                0.71012,                 0.5371,                 1.0243,                0.99647,                0.92171,              0.0006942,              0.0006942,              0.0006942
                     13,                 1.1867,                 1.2783,                0.94724,                0.78591,                0.64762,                0.74319,                0.54297,                 1.0309,                0.96917,                0.91811,             0.00073381,             0.00073381,             0.00073381
                     14,                 1.2488,                 1.1293,                0.96908,                 0.8277,                0.64545,                0.77083,                0.54279,                 1.0323,                  0.941,                0.91716,             0.00077045,             0.00077045,             0.00077045
                     15,                 1.1431,                 1.3087,                0.89899,                 0.8277,                0.64545,                0.77083,                0.54279,                 1.0323,                  0.941,                0.91716,             0.00080412,             0.00080412,             0.00080412
                     16,                  1.082,                 1.2457,                0.90153,                0.53072,                0.84691,                0.78833,                0.57649,                0.99671,                0.87952,                0.92815,             0.00083481,             0.00083481,             0.00083481
                     17,                 1.1681,                 1.1927,                0.89663,                0.61381,                0.85366,                0.79127,                0.59448,                0.97879,                 0.8545,                0.92833,               0.000854,               0.000854,               0.000854
                     18,                 1.0852,                 1.0976,                0.92502,                0.63899,                0.82509,                0.80244,                0.56905,                 1.0417,                0.84626,                0.93087,               0.000854,               0.000854,               0.000854
                     19,                 1.0644,                0.96796,                0.89896,                0.63899,                0.82509,                0.80244,                0.56905,                 1.0417,                0.84626,                0.93087,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.1731,                 1.0306,                0.90206,                0.67232,                0.83718,                0.80395,                0.57912,                 1.0487,                0.84465,                0.92942,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.2329,                 1.0362,                 0.9785,                0.69355,                0.82549,                0.79652,                0.59526,                 1.0254,                0.84414,                0.92139,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.1298,                0.93567,                 0.9217,                0.73045,                0.82505,                0.79119,                0.59757,                0.98267,                0.82149,                0.91249,               0.000755,               0.000755,               0.000755
                     23,                 1.0795,                0.96601,                0.90358,                0.73045,                0.82505,                0.79119,                0.59757,                0.98267,                0.82149,                0.91249,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.1032,                 1.0854,                0.93031,                0.74856,                0.84359,                0.80769,                 0.6156,                0.97217,                0.80213,                0.90916,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.0805,                0.90968,                0.89883,                0.76204,                0.84991,                0.81644,                0.61222,                 0.9699,                0.78989,                0.90879,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.0685,                0.94316,                0.89132,                0.79985,                0.85703,                0.83058,                0.63365,                0.95069,                 0.7488,                0.90246,               0.000656,               0.000656,               0.000656
                     27,                0.98394,                0.88778,                0.89441,                0.79985,                0.85703,                0.83058,                0.63365,                0.95069,                 0.7488,                0.90246,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.0536,                0.90786,                0.89813,                0.81357,                0.85907,                0.84012,                0.63923,                0.95375,                0.74669,                0.90173,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.0988,                 1.0457,                0.88622,                0.80226,                0.86234,                0.84737,                0.64648,                 0.9445,                0.74575,                0.90145,             0.00058175,             0.00058175,             0.00058175
                     30,                0.99257,                0.84022,                0.89218,                0.80339,                0.87696,                0.85368,                0.65051,                0.95109,                 0.7235,                0.90159,               0.000557,               0.000557,               0.000557
                     31,                 1.0026,                0.84211,                0.90891,                0.80339,                0.87696,                0.85368,                0.65051,                0.95109,                 0.7235,                0.90159,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.5299,                 10.296,                0.96114,                0.78469,                0.87873,                0.85666,                0.64285,                0.97812,                0.68834,                0.90465,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.0259,                0.87403,                0.91268,                0.81125,                0.92216,                0.87031,                0.66076,                0.95915,                0.68065,                 0.9023,             0.00048275,             0.00048275,             0.00048275
                     34,                0.99475,                 1.6147,                0.89178,                0.81984,                0.92071,                 0.8843,                0.69319,                0.93347,                0.67357,                0.89969,               0.000458,               0.000458,               0.000458
